page,name,brand,link,price,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,screen_size,screen_type
laptopworld,Laptop Acer Nitro V ANV15-51-58AN NH.QNASV.001 (Core i5-13420H | 8GB | 512GB | RTX 2050 4GB | 15.6 inch FHD 144Hz | Win 11 | Đen),Laptop Acer,/laptop-acer-nitro-v-anv15-51-58an-nh-qnasv-001.html,21490000.0,Intel Core i513420H ,Intel,8,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,15.6 ,HD
laptopworld,Laptop Acer Gaming Aspire 5 A515-58GM-53PZ NX.KQ4SV.008 (Core™ i5-13420H | 8GB | 512GB SSD | RTX 2050 | 15.6 inch FHD  | Win 11 | Xám),Laptop Acer,/laptop-acer-gaming-aspire-5-a515-58gm-53pz-nx-kq4sv-008,20490000.0,Intel Core i513420H ,Intel,8,DDR4,,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,15.6,HD
laptopworld,"Dell Gaming G16 7630 2023 (Core i7-13650HX, Ram 16GB, 1TB SSD, RTX 4060 8G, 16 inch 2.5K 165Hz)",Dell,/dell-gaming-g16-7630-2023-core-i7-13650hx-ram-16gb-1tb-ssd-rtx-4060-8g-16-inch-2-5k-165hz.html,38990000.0,Intel Core i713650HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16,IPS
laptopworld,"Laptop Acer Predator Helios Neo 16-PHN16-71-73LT (Core i7-13700HX, Ram 16GB, 1TB SSD, RTX 4060 8GB, 16inch WQXGA 165Hz)",Laptop Acer,/laptop-acer-predator-helios-neo-16-phn16-71-73lt,34990000.0,Intel Core i713700HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16 ,IPS
laptopworld,"Lenovo Legion 5 R7000 APH9 (Ryzen 7-7840H, Ram 16GB, SSD 512GB, RTX 4060, 15.6inch FHD 144Hz)",Lenovo,/lenovo-legion-5-r7000-aph9-ryzen-7-7840h-ram-16gb-ssd-512gb-rtx-4060-15-6inch-fhd-144hz.html,29990000.0,AMD Ryzen 77840H ,AMD,16,DDR5,SSD,512GB,NVIDIAGeForce RTX 4060 8GB GDDR6,15.6,HD
laptopworld,Laptop Gigabyte G5 KF5-53VN383SH (Core i5-13500H | 8GB | 512GB | RTX 4060 8GB | 15.6inch FHD 144Hz | Win 11 | Đen),Laptop Gigabyte,/laptop-gigabyte-g5-kf5-53vn383sh,26290000.0,Intel Core i513500H ,Intel,8,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,15.6 ,HD
laptopworld,Laptop Gigabyte G5 MF5-52VN383SH (Core i5-13500H | 8GB | 512GB | RTX 4050 6GB | 15.6inch FHD 144Hz | Win 11 | Đen),Laptop Gigabyte,/laptop-gigabyte-g5-mf5-52vn383sh,23290000.0,Intel Core i513500H ,Intel,8,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,15.6 ,HD
laptopworld,Laptop Asus TUF Gaming F15 FX507VU-LP198W (Core i7-13620H | 8GB | 512GB | RTX 4050 | 15.6 inch FHD | Win 11 | Xám),Laptop Asus,/laptop-asus-tuf-gaming-f15-fx507vu-lp198w.html,28990000.0,Intel Core i713620H ,Intel,8,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6 140W TGP,15.6 ,HD
laptopworld,"Acer Predator Helios Neo 16-PHN16-71-92WJ (Core i9-13900HX, Ram 16GB, 1TB SSD, RTX 4060 8GB, 16inch 2.5K+ 165Hz)",Acer,/acer-predator-helios-neo-16-phn16-71-92wj.html,37990000.0,Intel Core i913900HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16 ,IPS
laptopworld,Laptop Acer Nitro V ANV15-51-75GS NH.QN8SV.005 (Core i7-13620H | 16GB | 512GB | RTX 4050 6GB | 15.6 inch FHD | Win 11 | Black),Laptop Acer,/laptop-acer-nitro-v-anv15-51-75gs-nh-qn8sv-005.html,30990000.0,Intel Core i713620H ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,15.6 ,HD
