page,name,brand,link,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
thegioididong,Laptop MSI Prestige 14 AI Studio C1UDXG Ultra 7 155H/16GB/1TB/6GB RTX3050/144Hz/Túi/Win11 (058VN),Laptop MSI,http://www.thegioididong.com/laptop/msi-prestige-14-ai-studio-c1udxg-ultra-7-058vn,26990000.0,0,1,Intel Core Ultra 7 Meteor Lake - 155H,Intel,16,DDR5,SSD,1 TB,"Card rời- NVIDIA GeForce RTX 3050, 6 GB",Nvidia,14,Độ phân giải:Full HD
thegioididong,Laptop Dell Inspiron 14 5440 Core 7 150U/16GB/512GB/OfficeHS/Win11 (N4I7204W1),Laptop Dell,http://www.thegioididong.com/laptop/dell-inspiron-14-5440-core-7-n4i7204w1,23990000.0,0,1,Intel Core 7 Raptor Lake - 150U,Intel,16,DDR5,SSD,512 GB,Card tích hợp- Intel Graphics,Intel,14,Độ phân giải:Full HD
thegioididong,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (P16WD2),Laptop Dell,http://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-p16wd2,18490000.0,0,1,Intel Core i5 Raptor Lake - 1334U,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop HP Pavilion 15 eg3095TU i5 1335U/8GB/512GB/Win11 (8C5L6PA),Laptop HP,http://www.thegioididong.com/laptop/hp-pavilion-15-eg3095tu-i5-8c5l6pa,18490000.0,0,1,Intel Core i5 Raptor Lake - 1335U,Intel,8,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop HP Pavilion 15 eg3094TU i5 1335U/8GB/512GB/Win11 (8C5L5PA),Laptop HP,http://www.thegioididong.com/laptop/hp-pavilion-15-eg3094tu-i5-8c5l5pa,18490000.0,0,1,Intel Core i5 Raptor Lake - 1335U,Intel,8,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop HP Probook 450 G10 i7 1355U/16GB/512GB/Win11 (873D3PA),Laptop HP,http://www.thegioididong.com/laptop/hp-probook-450-g10-i7-873d3pa,24990000.0,0,1,Intel Core i7 Raptor Lake - 1355U,Intel,16,DDR4,SSD,512 GB,Card tích hợp- Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop Lenovo ThinkPad E14 Ultra 7 155H/32GB/1TB/Win11 (21M70051VN),Laptop Lenovo,http://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m70051vn,33490000.0,0,1,Intel Core Ultra 7 Meteor Lake - 155H,Intel,32,DDR5,SSD,1 TB,Card tích hợp- Intel Arc Graphics,Intel,14,2.2K
thegioididong,Laptop MSI Gaming Katana A15 AI B8VF R7 8845HS/16GB/512GB/8GB RTX4060/144Hz/Balo/Win11 (419VN),Laptop MSI,http://www.thegioididong.com/laptop/msi-gaming-katana-a15-ai-b8vf-r7-419vn,28490000.0,0,1,AMD Ryzen 7- 8845HS,AMD,16,DDR5,SSD,512 GB,"Card rời- NVIDIA GeForce RTX 4060, 8 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX/32GB/1TB/8GB RTX4070/240Hz/Win11 (83DF0046VN),Laptop Lenovo,http://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0046vn?itm_source=home&itm_medium=product_card&itm_campaign=viewed,54990000.0,0,1,Intel Core i9 Raptor Lake - 14900HX,Intel,32,DDR5,SSD,1 TB,"Card rời- NVIDIA GeForce RTX 4070, 8 GB",Nvidia,16,
thegioididong,Laptop Acer Swift AI SF14 51 75VP Ultra 7 258V/32GB/1TB/Win11 (NX.J2KSV.001),Laptop Acer,http://www.thegioididong.com/laptop/acer-swift-ai-sf14-51-75vp-ultra-7-nxj2ksv001,39990000.0,0,1,Intel Core Ultra 7 Lunar Lake - 258V,Intel,32,,SSD,1 TB,Card tích hợp- Intel Arc 140V,Intel,14,2.8K
thegioididong,Laptop Dell Inspiron 16 5640 Core 7 150U/16GB/1TB/OfficeHS/Win11 (N5640-C7U161W11IBU),Laptop Dell,http://www.thegioididong.com/laptop/dell-inspiron-16-5640-core-7-n5640c7u161w11ibu,25990000.0,0,1,Intel Core 7 Raptor Lake - 150U,Intel,16,DDR5,SSD,1 TB,Card tích hợp- Intel Graphics,Intel,16,Độ phân giải:Full HD
thegioididong,Laptop HP Probook 450 G10 i5 1335U/16GB/512GB/Win11 (9H1N5PT),Laptop HP,http://www.thegioididong.com/laptop/hp-probook-450-g10-i5-9h1n5pt,21490000.0,0,1,Intel Core i5 Raptor Lake - 1335U,Intel,16,DDR4,SSD,512 GB,Card tích hợp- Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop HP Gaming VICTUS 16 s0078AX R5 7640HS/16GB/512GB/6GB RTX3050/144Hz/Win11 (8C5N7PA),Laptop HP,http://www.thegioididong.com/laptop/hp-victus-16-s0078ax-r5-8c5n7pa?utm_flashsale=1,22690000.0,0,1,AMD Ryzen 5- 7640HS,AMD,16,DDR5,SSD,512 GB,"Card rời- NVIDIA GeForce RTX 3050, 6 GB",Nvidia,16.1,Độ phân giải:Full HD
thegioididong,Laptop MSI Gaming Katana 15 B13VGK i7 13620H/16GB/1TB/8GB RTX4070/144Hz/Balo/Win11 (1211VN),Laptop MSI,http://www.thegioididong.com/laptop/msi-gaming-katana-15-b13vgk-i7-1211vn,36990000.0,0,1,Intel Core i7 Raptor Lake - 13620H,Intel,16,DDR5,SSD,1 TB,"Card rời- NVIDIA GeForce RTX 4070, 8 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/8GB/512GB/4GB RTX3050/144Hz/Win11 (HN074W),Laptop Asus,http://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i5-hn074w,18990000.0,0,1,Intel Core i5 Alder Lake- 12500H,Intel,8,DDR4,SSD,512 GB,"Card rời-NVIDIA GeForce RTX 3050, 4 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop Dell Inspiron 15 3530 i5 1335U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5791W1),Laptop Dell,http://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5791w1,18490000.0,0,1,Intel Core i5 Raptor Lake - 1335U,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H/32GB/512GB/Win11 (83DA001YVN),Laptop Lenovo,http://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da001yvn,26990000.0,0,1,Intel Core Ultra 7 Meteor Lake - 155H,Intel,32,,SSD,512 GB,Card tích hợp- Intel Arc Graphics,Intel,14,WUXGA
thegioididong,Laptop Dell Vostro 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (i5U165W11GRU),Laptop Dell,http://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-i5u165w11gru,16490000.0,0,1,Intel Core i5 Alder Lake- 1235U,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop Dell Latitude 3440 i7 1355U/16GB/512GB/Win11 (71038103),Laptop Dell,http://www.thegioididong.com/laptop/dell-latitude-3440-i7-71038103,24490000.0,0,1,Intel Core i7 Raptor Lake - 1355U,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,14,Độ phân giải:Full HD
thegioididong,Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (6L1X8PA),Laptop HP,http://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x8pa,11490000.0,0,1,Intel Core i3 Alder Lake-1215U,Intel,8,DDR4,SSD,512 GB,Card tích hợp-Intel UHD Graphics,Intel,14,Độ phân giải:Full HD
thegioididong,Laptop Acer Swift Go 14 AI SFG14 73 71ZX Ultra 7 155H/16GB/512GB/Win11 (NX.KSLSV.002),Laptop Acer,http://www.thegioididong.com/laptop/acer-swift-go-14-ai-73-71zx-ultra-7-nxkslsv002,25990000.0,0,1,Intel Core Ultra 7 Meteor Lake - 155H,Intel,16,LPDDR5,SSD,512 GB,Card tích hợp- Intel Arc Graphics,Intel,14,2.8K
