page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,Lenovo ThinkPad P15 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15-gen-1?skuId=9065,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/12/lenovo-thinkpad-p15-gen-1-undefined.jpg,20790000,1,0,Intel Core i7 10850H,Intel,48GB,DDR4,SSD,1,Nvidia Quadro T2000 4GB,Nvidia,15.6,FHD
Thinkpro,Lenovo ThinkPad P15 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15-gen-1?skuId=9322,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/12/lenovo-thinkpad-p15-gen-1-undefined.jpg,17290000,1,0,Intel Core i7 10750H,Intel,16GB,DDR4,SSD,512 GB,Nvidia Quadro T1000 4GB,Nvidia,15.6,FHD
Thinkpro,Lenovo ThinkPad P15 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15-gen-1?skuId=9323,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/12/lenovo-thinkpad-p15-gen-1-undefined.jpg,18290000,1,0,Intel Core i7 10750H,Intel,32GB,DDR4,SSD,512 GB,Nvidia Quadro T2000 4GB,Nvidia,15.6,FHD
Thinkpro,Lenovo ThinkPad P15 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15-gen-1?skuId=9350,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/12/lenovo-thinkpad-p15-gen-1-undefined.jpg,20790000,1,0,Intel Core i9 10885H,Intel,32GB,DDR4,SSD,512 GB,Nvidia Quadro T2000 4GB,Nvidia,15.6,FHD
Thinkpro,Lenovo Flex 7 14IAU7,Lenovo,https://thinkpro.vn/laptop/lenovo-flex-7-14iau7?skuId=8825,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/8/9/lenovo-flex-7-14iau7-undefined.jpg,14690000,1,0,Intel Core i7 1355U,Intel,16GB,LPDDR4x,SSD,1,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Lenovo IdeaPad Slim 5 16IRU9,Lenovo,https://thinkpro.vn/laptop/lenovo-ideapad-slim-5-16iru9?skuId=8858,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/8/20/lenovo-ideapad-slim-5-16iru9-undefined-Zos.jpg,14990000,1,0,Intel Core 7 150U,Intel,16GB,LPDDR5x,SSD,1,Intel Graphics,Intel,16,FHD
Thinkpro,HP Elitebook X360 1040 G7,HP,https://thinkpro.vn/laptop/hp-elitebook-x360-1040-g7?skuId=8179,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/3/30/hp-elitebook-x360-1040-g7-undefined.jpg,13290000,1,0,Intel Core i7 10610U,Intel,16GB,LPDDR4,SSD,512 GB,Intel UHD,Intel,14,FHD
Thinkpro,Dell Inspiron 13 5330N,Dell,https://thinkpro.vn/laptop/dell-inspiron-13-5330n?skuId=7978,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/21/dell-inspiron-13-5330n-undefined.jpg,22990000,1,0,Intel Core Ultra 7 155H,Intel,16GB,LPDDR5,SSD,1,Intel Arc Graphics Series-roi,Intel,13.3,2.5K
Thinkpro,Lenovo Slim Pro 9 16IRP8,Lenovo,https://thinkpro.vn/laptop/lenovo-slim-pro-9i?skuId=7706,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/12/5/lenovo-slim-pro-9-16-undefined-Lg1.png,30790000,1,0,Intel Core i9-13905H,Intel,32GB,LPDDR5,SSD,1,NVIDIA GeForce Series-roi,NVIDIA,16,3.5K
Thinkpro,Lenovo Ideapad Slim 5 16IRL8,Lenovo,https://thinkpro.vn/laptop/lenovo-ideapad-slim-5-16irl8?skuId=7998,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://media-api-beta.thinkpro.vn/media/core/products/2024/11/3/lenovo-ideapad-slim-5-16irl8-thinkpro-2Ve.jpg,13290000,1,0,Intel Core i7-1355U,Intel,16GB,DDR4,SSD,512 GB,Intel Iris Xe Graphics,Intel,16,FHD
Thinkpro,"Microsoft Surface Laptop 4 15""",Microsoft,https://thinkpro.vn/laptop/microsoft-surface-laptop-4-15?skuId=8758,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/27/microsoft-surface-laptop-4-15-thinkpro.jpg,16990000,1,0,Intel Core i7 1185G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe Graphics,Intel,15,2.5K
Thinkpro,Lenovo ThinkPad X1 Yoga Gen 7,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-yoga-gen-7?skuId=8245,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/10/27/lenovo-thinkpad-x1-yoga-gen-7-thinkpro.jpg,23790000,1,0,Intel Core i7 1280P,Intel,32GB,LPDDR5,SSD,512 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Dell Precision 7540,Dell,https://thinkpro.vn/laptop/dell-precision-7540?skuId=8190,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/21/dell-precision-7540-undefined-EkC.jpg,13990000,1,0,Intel Xeon E2276M,Intel,16GB,DDR4,SSD,512 GB,Nvidia Quadro T2000 4GB,Nvidia,15.6,FHD
