page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,Lenovo Legion Pro 5 16IRX9 83DF0046VN,Lenovo,https://thinkpro.vn/laptop/lenovo-legion-pro-5-16irx9-83df0046vn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/18/lenovo-legion-pro-5-16irx9-83df0046vn-undefined-H5x.jpg,50990000,0,1,Intel Core i9 14900HX,Intel,32GB,DDR5,SSD,1,GeForce RTX 4070 8GB,GeForce,16,FHD
Thinkpro,Lenovo Legion Pro 7 16IRX9H 83DE001MVN,Lenovo,https://thinkpro.vn/laptop/lenovo-legion-pro-7-16irx9h-83de001mvn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/17/lenovo-legion-pro-7-16irx9h-83de001mvn-undefined-A9o.jpg,94990000,0,1,Intel Core i9-14900HX,Intel,32GB,DDR5,SSD,1,GeForce RTX 4090 16GB,GeForce,16,2.5K
Thinkpro,Lenovo Legion 7 16IRX9 83FD004MVN,Lenovo,https://thinkpro.vn/laptop/lenovo-legion-7-16irx9-83fd004mvn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/17/lenovo-legion-7-16irx9-83fd004mvn-undefined.jpg,62990000,0,1,Intel Core i9-14900HX,Intel,32GB,DDR5,SSD,1,RTX 4070 8GB,RTX,16,FHD
Thinkpro,Lenovo Legion 7 16IRX9 83FD006JVN,Lenovo,https://thinkpro.vn/laptop/lenovo-legion-7-16irx9-83fd006jvn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/17/lenovo-legion-7-16irx9-83fd006jvn-undefined.jpg,63990000,0,1,Intel Core i9-14900HX,Intel,32GB,DDR5,SSD,1,RTX 4070 8GB,RTX,16,FHD
Thinkpro,Lenovo Yoga 9 2-in-1 14IMH9 83AC000SVN,Lenovo,https://thinkpro.vn/laptop/lenovo-yoga-9-2-in-1-14imh9-83ac000svn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/17/lenovo-yoga-9-2-in-1-14imh9-83ac000svn-undefined.jpg,43990000,0,1,Intel Core Ultra 7 155H,Intel,16GB,LPDDR5x,SSD,1,Intel Arc Graphics,Intel,60Hz,
Thinkpro,Lenovo Yoga Slim 7 14IMH9 83E2006MVN,Lenovo,https://thinkpro.vn/laptop/lenovo-yoga-slim-7-14imh9-83e2006mvn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/17/lenovo-yoga-slim-7-14imh9-83e2006mvn-undefined.jpg,46190000,0,1,Intel Core Ultra 7 155H,Intel,32GB,LPDDR5x,SSD,1,Nvidia GeForce RTX 4050 6GB,Nvidia,14.5,FHD
Thinkpro,Acer Swift X 14 AI SFX14-72G-77F9,Acer,https://thinkpro.vn/laptop/acer-swift-x-14-ai-sfx14-72g-77f9,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/3/laptop-acer-swift-x-14-ai-sfx14-72g-77f9-undefined.jpg,43990000,0,1,Intel Core Ultra 7 155H,Intel,32GB,LPDDR5,SSD,1,RTX 4050 6GB,RTX,14.5,3K
Thinkpro,Gaming Acer Nitro V ANV15-51-78BG NH.QQESV.00A,Acer,https://thinkpro.vn/laptop/gaming-acer-nitro-v-anv15-51-78bg-nhqqesv00a,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/3/laptop-gaming-acer-nitro-v-anv15-51-78bg-nhqqesv00a-undefined.jpg,34690000,0,1,Intel Core i7-13620H,Intel,16GB,DDR5,SSD,512 GB,GeForce RTX 4060 8GB,GeForce,15.6,FHD
Thinkpro,Acer Predator Helios Neo 16 PHN16-72-950P NH.QNMSV.001,Acer,https://thinkpro.vn/laptop/acer-predator-helios-neo-16-phn16-72-950p-nhqnmsv001,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/3/laptop-acer-predator-helios-neo-16-phn16-72-950p-nhqnmsv001-undefined.jpg,52990000,0,1,Intel Core i9-14900HX,Intel,32GB,DDR5,SSD,1,GeForce RTX 4070 8GB,GeForce,16,2.5K
Thinkpro,ACER Swift 14 SF14-71T-75CV NX.KERSV.003,ACER,https://thinkpro.vn/laptop/acer-swift-14-sf14-71t-75cv-nxkersv003,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/3/laptop-acer-swift-14-sf14-71t-75cv-nxkersv003-undefined.jpg,38990000,0,1,Core i7-13700H,Core,32GB,LPDDR5,SSD,1,Intel Iris Xe Graphics,Intel,14,2.5K
Thinkpro,Acer Gaming Nitro 16 Phoenix AN16-41-R50Z,Acer,https://thinkpro.vn/laptop/acer-gaming-nitro-16-phoenix-an16-41-r50z,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/3/laptop-acer-gaming-nitro-16-phoenix-an16-41-r50z-undefined.jpg,26490000,0,1,AMD Ryzen 5 7640HS,AMD,8GB,DDR5,SSD,512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6,NVIDIA,16,FHD
Thinkpro,HP Pavilion 14 Plus,HP,https://thinkpro.vn/laptop/hp-pavilion-14-plus,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/10/hp-pavilion-14-plus-undefined.jpg,16390000,0,1,AMD Ryzen 5 7540U,AMD,16GB,DDR4,SSD,512 GB,AMD Radeon 740M,AMD,14,FHD
Thinkpro,Gaming Acer Nitro V,Acer,https://thinkpro.vn/laptop/gaming-acer-nitro-v,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/8/laptop-gaming-acer-nitro-v-undefined-ZAI.jpg,26990000,0,1,Intel Core i7-13620H,Intel,32GB,DDR5,SSD,512 GB,RTX 4060 8GB,RTX,15.6,FHD
