page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
laptop88,Lenovo IdeaPad Slim 5 16IRL8 82XF001TUS ,Lenovo,https://laptop88.vn/new-outlet-lenovo-ideapad-slim-5-16irl8-82xf001tus-intel-core-i7-1355u-16gb-16-inch-full-hd,https://laptop88.vn/media/product/pro_poster_9152.jpg,13990000,0,1,CPU Intel Core i7-1355U,Intel,16GB,LPDDR5-5200,512,B,Intel Iris Xe Graphics,Intel,16,FHD
laptop88,Lenovo Thinkbook 16P 00CD 2024 ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-16p-00cd-2024-intel-core-i9-14900hx-32gb-ssd-1tb-nvidia-rtx-4060-16-inch-32k-165hz,https://laptop88.vn/media/product/250_9150_9068_thinkbook_16p_g5_2024__4_.png,45990000,0,1,CPU Intel Core i9-14900HX,Intel,32GB,DDR5,SSD,1TB,NVIDIA Geforce RTX 4060,NVIDIA,16,3.2K
laptop88,Lenovo Thinkbook 16P G5 IRX 21N5001XCD 2024 ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-16p-1xcd-2024-intel-core-i7-14650hx-16gb-ssd-1tb-nvidia-rtx-4060-16-inch-32k-165hz,https://laptop88.vn/media/product/pro_poster_9148.jpg,34990000,0,1,CPU Intel Core i7-14650HX,Intel,16GB,DDR5,SSD,1TB,NVIDIA Geforce RTX 4060,NVIDIA,16,3.2K
laptop88,HP Envy x360 2 in 1 14-fa0023dx 9S1R4UA ,HP,https://laptop88.vn/new-100-laptop-hp-envy-x360-2-in-1-14-fa0023dx-9s1r4ua-amd-ryzen-7-8840hs-16gb-1tb-14-inch-full-hd-touch,https://laptop88.vn/media/product/pro_poster_9147.jpg,17990000,0,1,CPU AMD R7-8840HS,AMD,16GB,DDR5,SSD,1TB,AMD Radeon Graphics,AMD,14,FHD
laptop88,Asus Vivobook S 15 OLED S5507QA-MA090WS ,Asus,https://laptop88.vn/new-100-laptop-asus-vivobook-s-15-oled-s5507qa-ma090ws-snapdragon-x1e-78-100-32gb-156-inch-3k-oled-100-dci-p3,https://laptop88.vn/media/product/250_9146_18676_asus_vivobook_s_15_s5507qa__1.jpg,32990000,0,1,CPU Snapdragon X Elite X1E 78 100,Snapdragon,32GB,LPDDR5X,SSD,1TB,Qualcomm Adreno GPU,Qualcomm,15.6,3K
laptop88,MSI Thin 15 B13UC 1411VN ,MSI,https://laptop88.vn/new-100-laptop-msi-thin-15-b13uc-1411vn-intel-core-i7-13620h-rtx-3050-15-6-inch-full-hd-144hz,https://laptop88.vn/media/product/pro_poster_9144.jpg,18690000,0,1,CPU Intel Core i7-13620H,Intel,8GB,DDR4,SSD,512GB,NVIDIA GeForce RTX 3050 4GB GDDR6,NVIDIA,15.6,FHD
laptop88,Asus Vivobook S 15 OLED S5507QA-MA089WS ,Asus,https://laptop88.vn/new-100-laptop-asus-vivobook-s-15-oled-s5507qa-ma089ws-snapdragon-x1e-78-100-32gb-156-inch-3k-oled-100-dci-p3,https://laptop88.vn/media/product/250_9142_18676_asus_vivobook_s_15_s5507qa__1.jpg,31990000,0,1,CPU Snapdragon X Elite X1E 78 100,Snapdragon,32GB,LPDDR5X,SSD,1TB,Qualcomm Adreno GPU,Qualcomm,15.6,3K
laptop88,Asus Vivobook S 14 OLED S5406MA-PP046WS ,Asus,https://laptop88.vn/new-100-laptop-asus-vivobook-s-14-oled-s5406ma-pp046ws-intel-core-ultra-5-125h-16gb-14-inch-3k-oled-100-dci-p3,https://laptop88.vn/media/product/pro_poster_9141.jpg,23990000,0,1,CPU Intel Core Ultra 5 125H,Intel,16GB,LPDDR5X,SSD,512GB,Intel Arc Graphics,Intel,14,3K
laptop88,MSI Creator M16 HX C14VFG 040VN ,MSI,https://laptop88.vn/new-100-laptop-msi-creator-m16-hx-c14vfg-040vn-i714700hx-32gb-1tb-rtx-4060-16-inch-qhd-2560-x-1600-240hz-100,https://laptop88.vn/media/product/250_9140_msi_creator_m16_hx_c14vfg_040vn.jpg,41990000,0,1,CPU Intel Core  Core i7-14700HX,Intel,32GB,DDR5,SSD,1TB,Card Nvidia Geforce RTX 4060 6GB GDDR6,Card,16,2.5K
laptop88,Dell Precision 3550 ,Dell,https://laptop88.vn/laptop-cu-dell-precision-3550-intel-core-i5-10310u-15-6-inch-full-hd,https://laptop88.vn/media/product/pro_poster_9139.jpg,9390000,1,0,CPU Intel Core i5-10310u,Intel,16GB,DDR4,SSD,256GB,Intel UHD Graphics Card rời Quadro P520,Intel,15.6,FHD
laptop88,Asus Vivobook S 14 OLED S5406MA-PP198WS ,Asus,https://laptop88.vn/new-100-laptop-asus-vivobook-s-14-oled-s5406ma-pp198ws-intel-core-ultra-7-155h-16gb-14-inch-3k-oled-100-dci-p3,https://laptop88.vn/media/product/250_9138_s5406_2.png,27690000,0,1,CPU Intel Core Ultra 7 155H,Intel,16GB,LPDDR5X,SSD,512GB,Intel Arc Graphics,Intel,14,3K
laptop88,ASUS ROG Zephyrus G16 GA605WI-QR090WS ,ASUS,https://laptop88.vn/new-100-asus-rog-zephyrus-g16-ga605wi-qr090ws-ryzen-ai-9-hx-370-32dr5x-1tb-16-inch-wqxga-240hz-100-dci-p3,https://laptop88.vn/media/product/250_9137_zephyrus_g16_ga605_grey_05_copilot_w_rgb_0321.png,77990000,0,1,CPU AMD Ryzen AI 9 HX 370,AMD,32GB,,SSD,1TB,Card NVIDIA GeForce RTX 4070 8GB GDDR6,Card,16,2.5K
laptop88,ASUS Vivobook S 14 OLED M5406WA-PP071WS ,ASUS,https://laptop88.vn/new-100-laptop-asus-vivobook-s-14-oled-m5406wa-pp071ws-amd-ryzen-ai-9-hx-370-16gb-1tb-intel-arc-graphics-14-inch-3k-oled-100-dci-p3,https://laptop88.vn/media/product/pro_poster_9135.jpg,31490000,0,1,CPU AMD Ryzen AI 9 HX 370,AMD,32GB,LPDDR5X,SSD,1TB,AMD Radeon 890M Graphics,AMD,14,3K
