brand,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Lenovo,31990000.0,0,1,Intel Core Ultra 5125U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,13.3,IPS
Lenovo,46990000.0,0,1,Intel Core Ultra 7 155U,Intel,32.0,DDR5,SSD,1TB,Intel Graphics,Intel,14.0,8K
Acer,18990000.0,0,1,Intel Core i713620H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
LG,31990000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,IPS
LG,32990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,,512GB,Intel Arc Graphics,Intel,16.0,IPS
Asus,,0,1,Intel Core Ultra 7 258V,Intel,32.0,DDR5,SSD,1TB,Intel Arc A-Series 140V,Intel,14.0,
Asus,28990000.0,0,1,Intel Core Ultra 5 226V,Intel,16.0,DDR5,SSD,512GB,Intel Arc A-Series 130V,Intel,14.0,
Acer,39990000.0,0,1,Intel Core Ultra 7 Processor 258V,Intel,32.0,DDR5,SSD,1TB,Intel Arc A-Series 140V,Intel,14.0,OLED
Acer,34990000.0,0,1,Intel Core Ultra 5 Processor 226V,Intel,16.0,DDR5,SSD,1TB,Intel Arc A-Series 130V,Intel,14.0,OLED
HP,46990000.0,0,1,Intel Core Ultra 5 135U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,13.3,IPS
Lenovo,28590000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,16.0,IPS
Lenovo,28290000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,16.0,IPS
Lenovo,27290000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,16.0,IPS
Dell,16990000.0,0,1,Intel Core i51335U,Intel,8.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Dell,32490000.0,0,1,Intel Core Ultra 7 165U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,15.6,HD
Asus,12790000.0,0,1,Intel Core i31315U,Intel,8.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Asus,11990000.0,0,1,Intel Core i31315U,Intel,8.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Asus,11690000.0,0,1,Intel Core i31315U,Intel,8.0,DDR5,SSD,256GB,Intel UHD Graphics,Intel,15.6,HD
Asus,12790000.0,0,1,Intel Core i31315U,Intel,8.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Asus,11990000.0,0,1,Intel Core i31315U,Intel,8.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Asus,11690000.0,0,1,Intel Core i31315U,Intel,8.0,DDR5,SSD,256GB,Intel UHD Graphics,Intel,14.0,HD
Asus,19390000.0,0,1,Intel Core i713620H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Asus,20390000.0,0,1,Intel Core i713620H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Asus,19390000.0,0,1,Intel Core i713700H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Asus,19390000.0,0,1,Intel Core i713620H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Asus,14990000.0,0,1,Intel Core i513420H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Asus,15990000.0,0,1,Intel Core i513420H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Asus,14990000.0,0,1,Intel Core i513420H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Asus,14190000.0,0,1,Intel Core i513420H,Intel,8.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Asus,14190000.0,0,1,Intel Core i513420H,Intel,8.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
MSI,36990000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,NVIDIA GeForce RTX 4050,Nvidia,14.0,HD
Asus,20390000.0,0,1,Intel Core i713700H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Asus,16790000.0,0,1,Intel Core i513500H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
Lenovo,29590000.0,0,1,Intel Core i71265U,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,IPS
Dell,16490000.0,0,1,Intel Core i51235U,Intel,8.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,HD
Lenovo,45290000.0,0,1,Intel Core Ultra 5 125H,Intel,32.0,DDR5,SSD,1TB,NVIDIA RTX 500 Ada,Apple,14.5,IPS
Dell,16990000.0,0,1,Intel Core i51334U,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,HD
LG,27990000.0,0,1,Intel Core Ultra 5 125H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,14.0,IPS
LG,33990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,15.6,HD
Lenovo,17990000.0,0,1,AMD Ryzen 58640HS,AMD,8.0,DDR5,SSD,512GB,AMD Radeon 760M Graphics,AMD,16.0,IPS
Dell,25990000.0,0,1,Intel Core i71355U,Intel,16.0,DDR4,SSD,1TB,Intel Iris Xe Graphics,Intel,,HD
Asus,20390000.0,0,1,Intel Core i713700H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Asus,16790000.0,0,1,Intel Core i513500H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
Dell,56990000.0,0,1,Intel Core Ultra 5 125H,Intel,16.0,DDR5,SSD,2TB,Intel Arc Graphics,Intel,13.4,HD
Dell,38490000.0,0,1,Intel Core Ultra 5 135U vPro,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,13.3,HD
